DATE,FROM,TO,FLIGHT,FLIGHT TIME,STD,ATD,STA
11-Feb-20,Jeddah (JED),Abu Dhabi (AUH),EY312,2:03,5:00 PM,5:29 PM,8:30 PM
11-Feb-20,Abu Dhabi (AUH),Jeddah (JED),EY311,2:53,1:20 PM,1:32 PM,3:30 PM
11-Feb-20,Delhi (DEL),Abu Dhabi (AUH),EY229,3:35,8:55 AM,9:14 AM,11:35 AM
11-Feb-20,Abu Dhabi (AUH),Delhi (DEL),EY228,2:49,2:55 AM,3:16 AM,7:50 AM
10-Feb-20,Delhi (DEL),Abu Dhabi (AUH),EY223,3:40,9:05 PM,9:15 PM,11:50 PM
10-Feb-20,Abu Dhabi (AUH),Delhi (DEL),EY224,2:49,2:20 PM,2:30 PM,7:30 PM
9-Feb-20,Mumbai (BOM),Abu Dhabi (AUH),EY207,2:56,5:15 PM,5:58 PM,6:55 PM
9-Feb-20,Abu Dhabi (AUH),Mumbai (BOM),EY208,2:45,10:00 AM,10:18 AM,3:05 PM
9-Feb-20,Cochin (COK),Abu Dhabi (AUH),EY281,3:58,4:15 AM,4:32 AM,7:00 AM
8-Feb-20,Abu Dhabi (AUH),Cochin (COK),EY280,3:28,9:45 PM,10:04 PM,3:10 AM
8-Feb-20,Kuwait City (KWI),Abu Dhabi (AUH),EY304,1:12,4:20 PM,4:25 PM,7:00 PM
8-Feb-20,Abu Dhabi (AUH),Kuwait City (KWI),EY303,1:26,2:25 PM,2:24 PM,3:15 PM
8-Feb-20,Cochin (COK),Abu Dhabi (AUH),EY247,3:57,9:20 AM,10:07 AM,12:05 PM
8-Feb-20,Abu Dhabi (AUH),Cochin (COK),EY246,3:14,2:50 AM,4:24 AM,8:15 AM
7-Feb-20,Hyderabad (HYD),Abu Dhabi (AUH),EY277,3:51,9:30 PM,9:34 PM,12:10 AM
7-Feb-20,Abu Dhabi (AUH),Hyderabad (HYD),EY276,3:03,9:35 AM,9:54 AM,2:35 PM
7-Feb-20,Lahore (LHE),Abu Dhabi (AUH),EY242,3:30,3:40 AM,3:48 AM,6:25 AM
6-Feb-20,Abu Dhabi (AUH),Lahore (LHE),EY241,2:44,9:50 PM,10:16 PM,1:55 AM
6-Feb-20,Istanbul (IST),Abu Dhabi (AUH),EY96,3:50,2:50 PM,3:15 PM,8:10 PM
6-Feb-20,Abu Dhabi (AUH),Istanbul (IST),EY97,4:44,9:30 AM,9:52 AM,1:30 PM
6-Feb-20,Riyadh (RUH),Abu Dhabi (AUH),EY316,1:32,4:15 AM,4:29 AM,6:55 AM
6-Feb-20,Abu Dhabi (AUH),Riyadh (RUH),EY315,1:34,2:10 AM,2:25 AM,3:10 AM
5-Feb-20,Mumbai (BOM),Abu Dhabi (AUH),EY203,2:58,9:10 PM,9:47 PM,11:10 PM
5-Feb-20,Abu Dhabi (AUH),Mumbai (BOM),EY204,2:52,2:25 PM,2:37 PM,7:10 PM
5-Feb-20,Cochin (COK),Abu Dhabi (AUH),EY247,3:48,9:20 AM,9:26 AM,12:05 PM
5-Feb-20,Abu Dhabi (AUH),Cochin (COK),EY246,3:25,2:50 AM,3:11 AM,8:15 AM
4-Feb-20,Islamabad (ISB),Abu Dhabi (AUH),EY234,3:24,8:35 PM,8:45 PM,11:20 PM
4-Feb-20,Abu Dhabi (AUH),Islamabad (ISB),EY233,2:52,2:10 PM,2:23 PM,6:20 PM
4-Feb-20,Cairo (CAI),Abu Dhabi (AUH),EY650,2:43,6:15 AM,7:30 AM,11:30 AM
4-Feb-20,Abu Dhabi (AUH),Cairo (CAI),EY651,3:55,2:50 AM,3:27 AM,5:10 AM
3-Feb-20,Lahore (LHE),Abu Dhabi (AUH),EY244,3:32,8:50 PM,9:02 PM,11:35 PM
3-Feb-20,Abu Dhabi (AUH),Lahore (LHE),EY243,2:28,2:00 PM,2:17 PM,6:05 PM
3-Feb-20,Dammam (DMM),Abu Dhabi (AUH),EY322,0:49,10:15 AM,10:23 AM,12:30 PM
3-Feb-20,Abu Dhabi (AUH),Dammam (DMM),EY321,1:01,9:00 AM,9:18 AM,9:25 AM
3-Feb-20,Islamabad (ISB),Abu Dhabi (AUH),EY232,3:26,3:40 AM,3:49 AM,6:20 AM
2-Feb-20,Abu Dhabi (AUH),Islamabad (ISB),EY231,2:32,10:15 PM,10:48 PM,2:20 AM
2-Feb-20,Istanbul (IST),Abu Dhabi (AUH),EY96,3:52,2:50 PM,3:41 PM,8:10 PM
2-Feb-20,Abu Dhabi (AUH),Istanbul (IST),EY97,4:35,9:30 AM,9:43 AM,1:30 PM
2-Feb-20,Chennai (MAA),Abu Dhabi (AUH),EY269,4:06,4:40 AM,4:46 AM,7:45 AM
1-Feb-20,Abu Dhabi (AUH),Chennai (MAA),EY268,3:23,10:05 PM,10:23 PM,3:35 AM
1-Feb-20,Mumbai (BOM),Abu Dhabi (AUH),EY207,3:00,5:15 PM,5:35 PM,6:55 PM
1-Feb-20,Abu Dhabi (AUH),Mumbai (BOM),EY208,2:27,10:00 AM,10:15 AM,3:05 PM
1-Feb-20,Lahore (LHE),Abu Dhabi (AUH),EY242,3:22,3:40 AM,3:38 AM,6:25 AM
31-Jan-20,Abu Dhabi (AUH),Lahore (LHE),EY241,2:38,9:50 PM,10:12 PM,1:55 AM
31-Jan-20,Beirut (BEY),Abu Dhabi (AUH),EY538,3:05,2:00 PM,2:01 PM,7:35 PM
31-Jan-20,Abu Dhabi (AUH),Beirut (BEY),EY535,4:20,9:50 AM,10:07 AM,12:30 PM
31-Jan-20,Cochin (COK),Abu Dhabi (AUH),EY281,3:48,4:15 AM,4:33 AM,7:00 AM
30-Jan-20,Abu Dhabi (AUH),Cochin (COK),EY280,3:22,9:45 PM,10:06 PM,3:10 AM
30-Jan-20,Istanbul (IST),Abu Dhabi (AUH),EY96,3:49,2:50 PM,3:14 PM,8:10 PM
30-Jan-20,Abu Dhabi (AUH),Istanbul (IST),EY97,5:01,9:30 AM,9:46 AM,1:30 PM
30-Jan-20,Lahore (LHE),Abu Dhabi (AUH),EY242,3:30,3:40 AM,3:51 AM,6:25 AM
29-Jan-20,Abu Dhabi (AUH),Lahore (LHE),EY241,2:42,9:50 PM,10:16 PM,1:55 AM
29-Jan-20,Kuwait City (KWI),Abu Dhabi (AUH),EY304,1:11,4:20 PM,4:19 PM,7:00 PM
29-Jan-20,Abu Dhabi (AUH),Kuwait City (KWI),EY303,1:33,2:25 PM,2:33 PM,3:15 PM
29-Jan-20,Cochin (COK),Abu Dhabi (AUH),EY247,3:56,9:20 AM,9:30 AM,12:05 PM
29-Jan-20,Abu Dhabi (AUH),Cochin (COK),EY246,3:21,2:50 AM,3:03 AM,8:15 AM
28-Jan-20,Delhi (DEL),Abu Dhabi (AUH),EY223,3:36,9:05 PM,9:48 PM,11:50 PM
28-Jan-20,Abu Dhabi (AUH),Delhi (DEL),EY224,2:56,2:20 PM,2:26 PM,7:30 PM
28-Jan-20,Kozhikode (CCJ),Abu Dhabi (AUH),EY257,3:44,9:25 AM,9:30 AM,12:00 PM
28-Jan-20,Abu Dhabi (AUH),Kozhikode (CCJ),EY254,3:20,3:10 AM,3:29 AM,8:20 AM
27-Jan-20,Islamabad (ISB),Abu Dhabi (AUH),EY234,3:21,8:35 PM,9:32 PM,11:20 PM
27-Jan-20,Abu Dhabi (AUH),Islamabad (ISB),EY233,2:32,2:10 PM,2:20 PM,6:20 PM
27-Jan-20,Cairo (CAI),Abu Dhabi (AUH),EY650,2:42,6:15 AM,6:45 AM,11:30 AM
27-Jan-20,Abu Dhabi (AUH),Cairo (CAI),EY651,3:33,2:50 AM,3:13 AM,5:10 AM
26-Jan-20,Delhi (DEL),Abu Dhabi (AUH),EY223,3:54,9:05 PM,9:18 PM,11:50 PM
26-Jan-20,Abu Dhabi (AUH),Delhi (DEL),EY224,2:52,2:20 PM,2:27 PM,7:30 PM
26-Jan-20,Kozhikode (CCJ),Abu Dhabi (AUH),EY257,3:36,9:25 AM,9:41 AM,12:00 PM
26-Jan-20,Abu Dhabi (AUH),Kozhikode (CCJ),EY254,3:23,3:10 AM,3:30 AM,8:20 AM
25-Jan-20,Kuwait City (KWI),Abu Dhabi (AUH),EY310,1:11,11:05 PM,11:25 PM,1:45 AM
25-Jan-20,Abu Dhabi (AUH),Kuwait City (KWI),EY309,1:28,9:20 PM,9:39 PM,10:15 PM
25-Jan-20,Kuwait City (KWI),Abu Dhabi (AUH),EY304,1:17,4:20 PM,4:24 PM,7:00 PM
25-Jan-20,Abu Dhabi (AUH),Kuwait City (KWI),EY303,1:27,2:25 PM,2:31 PM,3:15 PM
25-Jan-20,Kozhikode (CCJ),Abu Dhabi (AUH),EY257,3:33,9:25 AM,9:26 AM,12:00 PM
25-Jan-20,Abu Dhabi (AUH),Kozhikode (CCJ),EY254,3:15,3:10 AM,3:26 AM,8:20 AM
24-Jan-20,Delhi (DEL),Abu Dhabi (AUH),EY223,3:50,9:05 PM,9:24 PM,11:50 PM
24-Jan-20,Abu Dhabi (AUH),Delhi (DEL),EY224,2:47,2:20 PM,2:25 PM,7:30 PM
24-Jan-20,Delhi (DEL),Abu Dhabi (AUH),EY229,3:44,8:55 AM,9:15 AM,11:35 AM
24-Jan-20,Abu Dhabi (AUH),Delhi (DEL),EY228,2:47,2:55 AM,3:22 AM,7:50 AM
23-Jan-20,Bengaluru (BLR),Abu Dhabi (AUH),EY237,3:49,8:55 PM,8:59 PM,11:50 PM
23-Jan-20,Abu Dhabi (AUH),Bengaluru (BLR),EY236,3:25,2:00 PM,11:24 AM,7:15 PM
23-Jan-20,Lahore (LHE),Abu Dhabi (AUH),EY242,3:31,3:40 AM,4:22 AM,6:25 AM
22-Jan-20,Abu Dhabi (AUH),Lahore (LHE),EY241,2:37,9:50 PM,11:06 PM,1:55 AM
22-Jan-20,Istanbul (IST),Abu Dhabi (AUH),EY96,3:55,2:50 PM,3:30 PM,8:10 PM
22-Jan-20,Abu Dhabi (AUH),Istanbul (IST),EY97,4:31,9:30 AM,10:18 AM,1:30 PM
22-Jan-20,Islamabad (ISB),Abu Dhabi (AUH),EY232,3:35,3:40 AM,4:35 AM,6:20 AM
21-Jan-20,Abu Dhabi (AUH),Islamabad (ISB),EY231,3:30,10:15 PM,10:43 PM,2:20 AM
21-Jan-20,Moscow (DME),Abu Dhabi (AUH),EY68,4:36,12:15 PM,12:26 PM,6:40 PM
21-Jan-20,Abu Dhabi (AUH),Moscow (DME),EY65,5:12,2:15 AM,2:22 AM,6:55 AM
20-Jan-20,Bengaluru (BLR),Abu Dhabi (AUH),EY237,4:10,8:55 PM,9:06 PM,11:50 PM
20-Jan-20,Abu Dhabi (AUH),Bengaluru (BLR),EY236,3:07,2:00 PM,11:29 AM,7:15 PM
20-Jan-20,Cochin (COK),Abu Dhabi (AUH),EY281,4:02,4:15 AM,4:08 AM,7:00 AM
19-Jan-20,Abu Dhabi (AUH),Cochin (COK),EY280,3:08,9:45 PM,10:01 PM,3:10 AM
19-Jan-20,Beirut (BEY),Abu Dhabi (AUH),EY538,3:04,2:00 PM,2:01 PM,7:35 PM
19-Jan-20,Abu Dhabi (AUH),Beirut (BEY),EY535,4:32,9:50 AM,10:06 AM,12:30 PM
19-Jan-20,Chennai (MAA),Abu Dhabi (AUH),EY269,4:13,4:40 AM,4:54 AM,7:45 AM
18-Jan-20,Abu Dhabi (AUH),Chennai (MAA),EY268,3:24,10:05 PM,10:24 PM,3:35 AM
18-Jan-20,Jeddah (JED),Abu Dhabi (AUH),EY312,2:03,5:00 PM,5:24 PM,8:30 PM
18-Jan-20,Abu Dhabi (AUH),Jeddah (JED),EY311,2:35,1:20 PM,1:43 PM,3:30 PM
18-Jan-20,Delhi (DEL),Abu Dhabi (AUH),EY229,3:33,8:55 AM,10:13 AM,11:35 AM
18-Jan-20,Abu Dhabi (AUH),Delhi (DEL),EY228,3:00,2:55 AM,3:14 AM,7:50 AM
17-Jan-20,Hyderabad (HYD),Abu Dhabi (AUH),EY277,3:47,9:30 PM,9:33 PM,12:10 AM
17-Jan-20,Abu Dhabi (AUH),Hyderabad (HYD),EY276,3:11,9:35 AM,9:49 AM,2:35 PM
17-Jan-20,Cochin (COK),Abu Dhabi (AUH),EY281,3:48,4:15 AM,4:32 AM,7:00 AM
16-Jan-20,Abu Dhabi (AUH),Cochin (COK),EY280,3:14,9:45 PM,10:16 PM,3:10 AM
16-Jan-20,Jeddah (JED),Abu Dhabi (AUH),EY312,2:13,5:00 PM,5:01 PM,8:30 PM
16-Jan-20,Abu Dhabi (AUH),Jeddah (JED),EY311,2:36,1:20 PM,1:35 PM,3:30 PM
16-Jan-20,Kozhikode (CCJ),Abu Dhabi (AUH),EY257,3:41,9:25 AM,9:31 AM,12:00 PM
16-Jan-20,Abu Dhabi (AUH),Kozhikode (CCJ),EY254,3:16,3:10 AM,3:36 AM,8:20 AM
15-Jan-20,Bengaluru (BLR),Abu Dhabi (AUH),EY237,3:54,8:55 PM,9:07 PM,11:50 PM
15-Jan-20,Abu Dhabi (AUH),Bengaluru (BLR),EY236,3:11,2:00 PM,1:09 PM,7:15 PM
15-Jan-20,Delhi (DEL),Abu Dhabi (AUH),EY229,3:49,8:55 AM,9:21 AM,11:35 AM
15-Jan-20,Abu Dhabi (AUH),Delhi (DEL),EY228,2:42,2:55 AM,3:32 AM,7:50 AM
14-Jan-20,Bengaluru (BLR),Abu Dhabi (AUH),EY237,4:15,8:55 PM,10:05 PM,11:50 PM
14-Jan-20,Abu Dhabi (AUH),Bengaluru (BLR),EY236,3:44,2:00 PM,11:26 AM,7:15 PM
14-Jan-20,Chennai (MAA),Abu Dhabi (AUH),EY269,4:29,4:40 AM,5:54 AM,7:45 AM
13-Jan-20,Abu Dhabi (AUH),Chennai (MAA),EY268,3:23,10:05 PM,11:01 PM,3:35 AM
13-Jan-20,Amman (AMM),Abu Dhabi (AUH),EY514,2:11,2:05 PM,2:27 PM,6:45 PM
13-Jan-20,Abu Dhabi (AUH),Amman (AMM),EY513,3:19,10:35 AM,11:23 AM,12:05 PM
12-Jan-20,Hyderabad (HYD),Abu Dhabi (AUH),EY277,3:51,9:30 PM,9:48 PM,12:10 AM
12-Jan-20,Abu Dhabi (AUH),Hyderabad (HYD),EY276,3:01,9:35 AM,10:28 AM,2:35 PM
12-Jan-20,Ahmedabad (AMD),Abu Dhabi (AUH),EY253,3:10,6:45 AM,6:59 AM,8:45 AM
12-Jan-20,Abu Dhabi (AUH),Ahmedabad (AMD),EY252,2:08,1:25 AM,1:52 AM,5:55 AM
11-Jan-20,Delhi (DEL),Abu Dhabi (AUH),EY223,3:51,9:05 PM,9:20 PM,11:50 PM
11-Jan-20,Abu Dhabi (AUH),Delhi (DEL),EY224,2:54,2:20 PM,2:37 PM,7:30 PM
11-Jan-20,Cairo (CAI),Abu Dhabi (AUH),EY650,2:44,6:15 AM,7:19 AM,11:30 AM
11-Jan-20,Abu Dhabi (AUH),Cairo (CAI),EY651,3:43,2:50 AM,4:00 AM,5:10 AM
10-Jan-20,Hyderabad (HYD),Abu Dhabi (AUH),EY277,3:55,9:30 PM,10:01 PM,12:10 AM
10-Jan-20,Abu Dhabi (AUH),Hyderabad (HYD),EY276,3:00,9:35 AM,10:12 AM,2:35 PM
10-Jan-20,Chennai (MAA),Abu Dhabi (AUH),EY269,4:10,4:40 AM,5:39 AM,7:45 AM
9-Jan-20,Abu Dhabi (AUH),Chennai (MAA),EY268,3:31,10:05 PM,10:46 PM,3:35 AM
9-Jan-20,Cairo (CAI),Abu Dhabi (AUH),EY650,2:39,6:15 AM,12:30 PM,11:30 AM
8-Jan-20,Delhi (DEL),Abu Dhabi (AUH),EY223,3:35,9:05 PM,9:18 PM,11:50 PM
8-Jan-20,Abu Dhabi (AUH),Delhi (DEL),EY224,2:53,2:20 PM,2:46 PM,7:30 PM
8-Jan-20,Riyadh (RUH),Abu Dhabi (AUH),EY316,1:17,4:15 AM,4:45 AM,6:55 AM
8-Jan-20,Abu Dhabi (AUH),Riyadh (RUH),EY315,1:45,2:10 AM,2:30 AM,3:10 AM
7-Jan-20,Lahore (LHE),Abu Dhabi (AUH),EY244,3:26,8:50 PM,9:03 PM,11:35 PM
7-Jan-20,Abu Dhabi (AUH),Lahore (LHE),EY243,2:30,2:00 PM,2:20 PM,6:05 PM
7-Jan-20,Cairo (CAI),Abu Dhabi (AUH),EY650,2:37,6:15 AM,7:02 AM,11:30 AM
7-Jan-20,Abu Dhabi (AUH),Cairo (CAI),EY651,3:56,2:50 AM,3:28 AM,5:10 AM
6-Jan-20,Hyderabad (HYD),Abu Dhabi (AUH),EY277,3:56,9:30 PM,9:50 PM,12:10 AM
6-Jan-20,Abu Dhabi (AUH),Hyderabad (HYD),EY276,2:52,9:35 AM,10:00 AM,2:35 PM
6-Jan-20,Karachi (KHI),Abu Dhabi (AUH),EY222,2:12,5:05 AM,5:05 AM,6:35 AM
5-Jan-20,Abu Dhabi (AUH),Karachi (KHI),EY221,1:37,10:30 PM,10:51 PM,1:40 AM
5-Jan-20,Kuwait City (KWI),Abu Dhabi (AUH),EY304,1:14,4:20 PM,4:38 PM,7:00 PM
5-Jan-20,Abu Dhabi (AUH),Kuwait City (KWI),EY303,1:29,2:25 PM,2:47 PM,3:15 PM
5-Jan-20,Delhi (DEL),Abu Dhabi (AUH),EY229,3:37,8:55 AM,9:33 AM,11:35 AM
5-Jan-20,Abu Dhabi (AUH),Delhi (DEL),EY228,2:37,2:55 AM,3:20 AM,7:50 AM
4-Jan-20,Bengaluru (BLR),Abu Dhabi (AUH),EY237,3:48,8:55 PM,9:02 PM,11:50 PM
4-Jan-20,Abu Dhabi (AUH),Bengaluru (BLR),EY236,3:12,2:00 PM,11:33 AM,7:15 PM
4-Jan-20,Riyadh (RUH),Abu Dhabi (AUH),EY316,1:07,4:15 AM,4:58 AM,6:55 AM
4-Jan-20,Abu Dhabi (AUH),Riyadh (RUH),EY315,1:47,2:10 AM,2:43 AM,3:10 AM
3-Jan-20,Colombo (CMB),Abu Dhabi (AUH),EY265,4:31,9:00 PM,9:11 PM,12:20 AM
3-Jan-20,Abu Dhabi (AUH),Colombo (CMB),EY264,3:46,8:40 AM,8:57 AM,2:35 PM
3-Jan-20,Cochin (COK),Abu Dhabi (AUH),EY281,3:48,4:15 AM,4:33 AM,7:00 AM
2-Jan-20,Abu Dhabi (AUH),Cochin (COK),EY280,3:16,9:45 PM,10:14 PM,3:10 AM
2-Jan-20,Dammam (DMM),Abu Dhabi (AUH),EY328,0:50,4:45 PM,4:54 PM,6:55 PM
2-Jan-20,Abu Dhabi (AUH),Dammam (DMM),EY327,1:01,2:50 PM,3:04 PM,3:15 PM
2-Jan-20,Delhi (DEL),Abu Dhabi (AUH),EY229,3:47,8:55 AM,9:39 AM,11:35 AM
2-Jan-20,Abu Dhabi (AUH),Delhi (DEL),EY228,3:07,2:55 AM,3:25 AM,7:50 AM
1-Jan-20,Mumbai (BOM),Abu Dhabi (AUH),EY203,3:00,9:10 PM,9:39 PM,11:10 PM
1-Jan-20,Abu Dhabi (AUH),Mumbai (BOM),EY204,2:35,2:25 PM,2:47 PM,7:10 PM
1-Jan-20,Delhi (DEL),Abu Dhabi (AUH),EY229,3:43,8:55 AM,9:23 AM,11:35 AM
1-Jan-20,Abu Dhabi (AUH),Delhi (DEL),EY228,2:47,2:55 AM,3:20 AM,7:50 AM
31-Dec-19,Beirut (BEY),Abu Dhabi (AUH),EY538,3:11,2:00 PM,2:21 PM,7:35 PM
31-Dec-19,Abu Dhabi (AUH),Beirut (BEY),EY535,4:23,9:50 AM,10:07 AM,12:30 PM
31-Dec-19,Riyadh (RUH),Abu Dhabi (AUH),EY316,1:11,4:15 AM,4:51 AM,6:55 AM
31-Dec-19,Abu Dhabi (AUH),Riyadh (RUH),EY315,1:33,2:10 AM,2:42 AM,3:10 AM
30-Dec-19,Bengaluru (BLR),Abu Dhabi (AUH),EY237,4:01,8:55 PM,9:13 PM,11:50 PM
30-Dec-19,Abu Dhabi (AUH),Bengaluru (BLR),EY236,3:02,2:00 PM,11:51 AM,7:15 PM
30-Dec-19,Al Ain (AAN),Abu Dhabi (AUH),EY269,0:21,9:48 AM,9:50 AM,9:57 AM
29-Dec-19,Abu Dhabi (AUH),Chennai (MAA),EY268,3:18,10:05 PM,10:26 PM,3:35 AM
29-Dec-19,Islamabad (ISB),Abu Dhabi (AUH),EY232,3:12,3:40 AM,3:27 PM,6:20 AM
28-Dec-19,Abu Dhabi (AUH),Islamabad (ISB),EY231,3:04,10:15 PM,9:50 AM,2:20 AM
29-Dec-19,Ahmedabad (AMD),Abu Dhabi (AUH),EY289,3:01,4:35 AM,4:21 AM,6:35 AM
28-Dec-19,Abu Dhabi (AUH),Ahmedabad (AMD),EY288,2:20,10:50 PM,11:11 PM,3:20 AM
28-Dec-19,Beirut (BEY),Abu Dhabi (AUH),EY538,3:11,2:00 PM,2:14 PM,7:35 PM
28-Dec-19,Abu Dhabi (AUH),Beirut (BEY),EY535,4:06,9:50 AM,10:04 AM,12:30 PM
27-Dec-19,Mumbai (BOM),Abu Dhabi (AUH),EY203,2:50,9:10 PM,9:32 PM,11:10 PM
27-Dec-19,Abu Dhabi (AUH),Mumbai (BOM),EY204,2:41,2:25 PM,3:13 PM,7:10 PM
27-Dec-19,Cochin (COK),Abu Dhabi (AUH),EY247,3:49,9:20 AM,9:40 AM,12:05 PM
27-Dec-19,Abu Dhabi (AUH),Cochin (COK),EY246,3:30,2:50 AM,3:14 AM,8:15 AM
26-Dec-19,Delhi (DEL),Abu Dhabi (AUH),EY223,3:34,9:05 PM,9:12 PM,11:50 PM
26-Dec-19,Abu Dhabi (AUH),Delhi (DEL),EY224,2:50,2:20 PM,2:24 PM,7:30 PM
26-Dec-19,Cairo (CAI),Abu Dhabi (AUH),EY650,3:06,6:15 AM,6:50 AM,11:30 AM
26-Dec-19,Abu Dhabi (AUH),Cairo (CAI),EY651,3:49,2:50 AM,3:29 AM,5:10 AM
25-Dec-19,Delhi (DEL),Abu Dhabi (AUH),EY223,3:34,9:05 PM,9:09 PM,11:50 PM
25-Dec-19,Abu Dhabi (AUH),Delhi (DEL),EY224,2:55,2:20 PM,2:35 PM,7:30 PM
25-Dec-19,Cairo (CAI),Abu Dhabi (AUH),EY650,2:42,6:15 AM,6:37 AM,11:30 AM
25-Dec-19,Abu Dhabi (AUH),Cairo (CAI),EY651,3:46,2:50 AM,3:04 AM,5:10 AM
24-Dec-19,Hyderabad (HYD),Abu Dhabi (AUH),EY277,3:45,9:30 PM,9:58 PM,12:10 AM
24-Dec-19,Abu Dhabi (AUH),Hyderabad (HYD),EY276,3:00,9:35 AM,10:05 AM,2:35 PM
24-Dec-19,Karachi (KHI),Abu Dhabi (AUH),EY222,2:11,5:05 AM,6:55 AM,6:35 AM
23-Dec-19,Abu Dhabi (AUH),Karachi (KHI),EY221,1:39,10:30 PM,10:54 PM,1:40 AM
