DATE,FROM,TO,FLIGHT,FLIGHT TIME,STD,ATD,STA
23-Dec-19,Beirut (BEY),Abu Dhabi (AUH),EY538,3:13,2:00 PM,2:11 PM,7:35 PM
23-Dec-19,Abu Dhabi (AUH),Beirut (BEY),EY535,3:59,9:50 AM,10:18 AM,12:30 PM
22-Dec-19,Jeddah (JED),Abu Dhabi (AUH),EY312,2:11,5:00 PM,5:01 PM,8:30 PM
22-Dec-19,Abu Dhabi (AUH),Jeddah (JED),EY311,2:44,1:20 PM,1:31 PM,3:30 PM
22-Dec-19,Cairo (CAI),Abu Dhabi (AUH),EY650,2:42,6:15 AM,6:23 AM,11:30 AM
22-Dec-19,Abu Dhabi (AUH),Cairo (CAI),EY651,3:37,2:50 AM,3:10 AM,5:10 AM
21-Dec-19,Bengaluru (BLR),Abu Dhabi (AUH),EY237,3:50,8:55 PM,9:00 PM,11:50 PM
21-Dec-19,Abu Dhabi (AUH),Bengaluru (BLR),EY236,3:14,2:00 PM,12:47 PM,7:15 PM
21-Dec-19,Cairo (CAI),Abu Dhabi (AUH),EY650,2:50,6:15 AM,6:15 AM,11:30 AM
21-Dec-19,Abu Dhabi (AUH),Cairo (CAI),EY651,3:25,2:50 AM,3:22 AM,5:10 AM
20-Dec-19,Colombo (CMB),Abu Dhabi (AUH),EY265,4:19,9:00 PM,9:11 PM,12:20 AM
20-Dec-19,Abu Dhabi (AUH),Colombo (CMB),EY264,4:08,8:40 AM,9:18 AM,2:35 PM
20-Dec-19,Cairo (CAI),Abu Dhabi (AUH),EY658,3:04,1:00 AM,1:03 AM,6:20 AM
19-Dec-19,Abu Dhabi (AUH),Cairo (CAI),EY657,4:03,9:35 PM,9:54 PM,11:55 PM
19-Dec-19,Beirut (BEY),Abu Dhabi (AUH),EY538,3:20,2:00 PM,2:06 PM,7:35 PM
19-Dec-19,Abu Dhabi (AUH),Beirut (BEY),EY535,3:49,9:50 AM,10:27 AM,12:30 PM
19-Dec-19,Thiruvananthapuram (TRV),Abu Dhabi (AUH),EY273,3:38,4:45 AM,4:52 AM,7:35 AM
18-Dec-19,Abu Dhabi (AUH),Thiruvananthapuram (TRV),EY272,3:43,10:05 PM,10:27 PM,3:40 AM
18-Dec-19,Jeddah (JED),Abu Dhabi (AUH),EY312,2:08,5:00 PM,5:06 PM,8:30 PM
18-Dec-19,Abu Dhabi (AUH),Jeddah (JED),EY311,2:40,1:20 PM,1:37 PM,3:30 PM
18-Dec-19,Delhi (DEL),Abu Dhabi (AUH),EY229,3:44,8:55 AM,9:18 AM,11:35 AM
18-Dec-19,Abu Dhabi (AUH),Delhi (DEL),EY228,2:53,2:55 AM,3:22 AM,7:50 AM
17-Dec-19,Delhi (DEL),Abu Dhabi (AUH),EY223,3:29,9:05 PM,9:13 PM,11:50 PM
17-Dec-19,Abu Dhabi (AUH),Delhi (DEL),EY224,2:47,2:20 PM,2:28 PM,7:30 PM
17-Dec-19,Cairo (CAI),Abu Dhabi (AUH),EY650,2:58,6:15 AM,6:15 AM,11:30 AM
17-Dec-19,Abu Dhabi (AUH),Cairo (CAI),EY651,3:35,2:50 AM,3:04 AM,5:10 AM
16-Dec-19,Bengaluru (BLR),Abu Dhabi (AUH),EY237,3:54,8:55 PM,8:55 PM,11:50 PM
16-Dec-19,Abu Dhabi (AUH),Bengaluru (BLR),EY236,3:12,11:20 AM,11:44 AM,4:35 PM
16-Dec-19,Ahmedabad (AMD),Abu Dhabi (AUH),EY253,3:01,7:25 AM,7:55 AM,9:25 AM
16-Dec-19,Abu Dhabi (AUH),Ahmedabad (AMD),EY252,2:12,2:05 AM,2:52 AM,6:35 AM
15-Dec-19,Bengaluru (BLR),Abu Dhabi (AUH),EY237,3:55,8:55 PM,8:57 PM,11:50 PM
15-Dec-19,Abu Dhabi (AUH),Bengaluru (BLR),EY236,3:13,11:20 AM,11:39 AM,4:35 PM
15-Dec-19,Islamabad (ISB),Abu Dhabi (AUH),EY232,3:13,3:40 AM,4:02 AM,6:20 AM
14-Dec-19,Abu Dhabi (AUH),Islamabad (ISB),EY231,2:47,10:15 PM,11:00 PM,2:20 AM
14-Dec-19,Kuwait City (KWI),Abu Dhabi (AUH),EY304,1:14,4:20 PM,4:31 PM,7:00 PM
14-Dec-19,Abu Dhabi (AUH),Kuwait City (KWI),EY303,1:23,2:25 PM,2:25 PM,3:15 PM
14-Dec-19,Delhi (DEL),Abu Dhabi (AUH),EY229,3:39,8:55 AM,9:04 AM,11:35 AM
14-Dec-19,Abu Dhabi (AUH),Delhi (DEL),EY228,2:49,2:55 AM,3:14 AM,7:50 AM
13-Dec-19,Mumbai (BOM),Abu Dhabi (AUH),EY203,2:51,9:10 PM,9:56 PM,11:10 PM
13-Dec-19,Abu Dhabi (AUH),Mumbai (BOM),EY204,2:33,2:25 PM,2:40 PM,7:10 PM
13-Dec-19,Delhi (DEL),Abu Dhabi (AUH),EY229,3:41,8:55 AM,9:18 AM,11:35 AM
13-Dec-19,Abu Dhabi (AUH),Delhi (DEL),EY228,2:41,2:55 AM,3:38 AM,7:50 AM
12-Dec-19,Bengaluru (BLR),Abu Dhabi (AUH),EY237,3:57,8:55 PM,9:14 PM,11:50 PM
12-Dec-19,Abu Dhabi (AUH),Bengaluru (BLR),EY236,3:08,11:20 AM,11:37 AM,4:35 PM
12-Dec-19,Lahore (LHE),Abu Dhabi (AUH),EY242,3:24,3:40 AM,4:11 AM,6:25 AM
11-Dec-19,Abu Dhabi (AUH),Lahore (LHE),EY241,2:40,9:50 PM,10:36 PM,1:55 AM
11-Dec-19,Moscow (DME),Abu Dhabi (AUH),EY68,4:33,12:15 PM,12:38 PM,6:40 PM
11-Dec-19,Abu Dhabi (AUH),Moscow (DME),EY65,5:10,2:15 AM,2:38 AM,6:55 AM
10-Dec-19,Mumbai (BOM),Abu Dhabi (AUH),EY203,3:06,9:10 PM,9:39 PM,11:10 PM
10-Dec-19,Abu Dhabi (AUH),Mumbai (BOM),EY204,2:38,2:25 PM,2:45 PM,7:10 PM
10-Dec-19,Delhi (DEL),Abu Dhabi (AUH),EY229,3:43,8:55 AM,9:25 AM,11:35 AM
10-Dec-19,Abu Dhabi (AUH),Delhi (DEL),EY228,2:45,2:55 AM,3:34 AM,7:50 AM
9-Dec-19,Mumbai (BOM),Abu Dhabi (AUH),EY203,2:59,9:10 PM,9:43 PM,11:10 PM
9-Dec-19,Abu Dhabi (AUH),Mumbai (BOM),EY204,2:39,2:25 PM,2:46 PM,7:10 PM
9-Dec-19,Delhi (DEL),Abu Dhabi (AUH),EY229,3:26,8:55 AM,10:36 AM,11:35 AM
9-Dec-19,Abu Dhabi (AUH),Delhi (DEL),EY228,2:51,2:55 AM,4:33 AM,7:50 AM
8-Dec-19,Mumbai (BOM),Abu Dhabi (AUH),EY203,2:56,9:10 PM,9:50 PM,11:10 PM
8-Dec-19,Abu Dhabi (AUH),Mumbai (BOM),EY204,2:36,2:25 PM,2:47 PM,7:10 PM
8-Dec-19,Delhi (DEL),Abu Dhabi (AUH),EY229,3:37,8:55 AM,9:21 AM,11:35 AM
8-Dec-19,Abu Dhabi (AUH),Delhi (DEL),EY228,2:52,2:55 AM,3:12 AM,7:50 AM
7-Dec-19,Mumbai (BOM),Abu Dhabi (AUH),EY203,2:46,9:10 PM,9:51 PM,11:10 PM
7-Dec-19,Abu Dhabi (AUH),Mumbai (BOM),EY204,2:42,2:25 PM,2:37 PM,7:10 PM
7-Dec-19,Kozhikode (CCJ),Abu Dhabi (AUH),EY257,3:41,9:25 AM,9:51 AM,12:00 PM
7-Dec-19,Abu Dhabi (AUH),Kozhikode (CCJ),EY254,3:22,3:10 AM,3:35 AM,8:20 AM
6-Dec-19,Colombo (CMB),Abu Dhabi (AUH),EY265,4:10,9:00 PM,9:07 PM,12:20 AM
6-Dec-19,Abu Dhabi (AUH),Colombo (CMB),EY264,4:08,8:40 AM,9:29 AM,2:35 PM
6-Dec-19,Riyadh (RUH),Abu Dhabi (AUH),EY316,1:09,4:15 AM,4:36 AM,6:55 AM
6-Dec-19,Abu Dhabi (AUH),Riyadh (RUH),EY315,1:28,2:10 AM,2:26 AM,3:10 AM
5-Dec-19,Hyderabad (HYD),Abu Dhabi (AUH),EY277,3:35,9:30 PM,9:43 PM,12:10 AM
5-Dec-19,Abu Dhabi (AUH),Hyderabad (HYD),EY276,3:11,9:35 AM,9:56 AM,2:35 PM
5-Dec-19,Chennai (MAA),Abu Dhabi (AUH),EY269,3:48,4:40 AM,5:28 AM,7:45 AM
4-Dec-19,Abu Dhabi (AUH),Chennai (MAA),EY268,3:41,10:05 PM,10:41 PM,3:35 AM
4-Dec-19,Jeddah (JED),Abu Dhabi (AUH),EY312,2:08,5:00 PM,5:15 PM,8:30 PM
4-Dec-19,Abu Dhabi (AUH),Jeddah (JED),EY311,2:38,1:20 PM,1:27 PM,3:30 PM
4-Dec-19,Cairo (CAI),Abu Dhabi (AUH),EY650,3:03,6:15 AM,6:15 AM,11:30 AM
4-Dec-19,Abu Dhabi (AUH),Cairo (CAI),EY651,3:38,2:50 AM,3:04 AM,5:10 AM
3-Dec-19,Bengaluru (BLR),Abu Dhabi (AUH),EY237,3:41,8:55 PM,9:05 PM,11:50 PM
3-Dec-19,Abu Dhabi (AUH),Bengaluru (BLR),EY236,3:21,2:00 PM,11:29 AM,7:15 PM
3-Dec-19,Cochin (COK),Abu Dhabi (AUH),EY281,3:42,4:15 AM,4:26 AM,7:00 AM
2-Dec-19,Abu Dhabi (AUH),Cochin (COK),EY280,3:37,9:45 PM,10:05 PM,3:10 AM
2-Dec-19,Istanbul (IST),Abu Dhabi (AUH),EY96,4:03,2:50 PM,2:52 PM,8:10 PM
2-Dec-19,Abu Dhabi (AUH),Istanbul (IST),EY97,4:25,9:30 AM,9:49 AM,1:30 PM
2-Dec-19,Riyadh (RUH),Abu Dhabi (AUH),EY316,1:12,4:15 AM,4:19 AM,6:55 AM
2-Dec-19,Abu Dhabi (AUH),Riyadh (RUH),EY315,1:28,2:10 AM,2:30 AM,3:10 AM
1-Dec-19,Bengaluru (BLR),Abu Dhabi (AUH),EY237,3:47,8:55 PM,9:05 PM,11:50 PM
1-Dec-19,Abu Dhabi (AUH),Bengaluru (BLR),EY236,3:22,2:00 PM,11:32 AM,7:15 PM
30-Nov-19,Bengaluru (BLR),Abu Dhabi (AUH),EY237,3:45,8:55 PM,9:06 PM,11:50 PM
30-Nov-19,Abu Dhabi (AUH),Bengaluru (BLR),EY236,3:19,2:00 PM,11:40 AM,7:15 PM
30-Nov-19,Chennai (MAA),Abu Dhabi (AUH),EY269,4:02,4:40 AM,5:32 AM,7:45 AM
29-Nov-19,Abu Dhabi (AUH),Chennai (MAA),EY268,3:39,10:05 PM,10:48 PM,3:35 AM
29-Nov-19,Amman (AMM),Abu Dhabi (AUH),EY514,2:27,2:05 PM,2:24 PM,6:45 PM
29-Nov-19,Abu Dhabi (AUH),Amman (AMM),EY513,2:58,10:35 AM,10:51 AM,12:05 PM
29-Nov-19,Ahmedabad (AMD),Abu Dhabi (AUH),EY253,2:51,7:25 AM,8:04 AM,9:25 AM
29-Nov-19,Abu Dhabi (AUH),Ahmedabad (AMD),EY252,2:17,2:05 AM,2:59 AM,6:35 AM
28-Nov-19,Delhi (DEL),Abu Dhabi (AUH),EY223,3:47,9:05 PM,9:21 PM,11:50 PM
28-Nov-19,Abu Dhabi (AUH),Delhi (DEL),EY224,2:57,2:20 PM,2:33 PM,7:30 PM
28-Nov-19,Delhi (DEL),Abu Dhabi (AUH),EY229,3:39,8:55 AM,9:26 AM,11:35 AM
28-Nov-19,Abu Dhabi (AUH),Delhi (DEL),EY228,2:44,2:55 AM,3:30 AM,7:50 AM
27-Nov-19,Mumbai (BOM),Abu Dhabi (AUH),EY203,2:58,9:10 PM,9:48 PM,11:10 PM
27-Nov-19,Abu Dhabi (AUH),Mumbai (BOM),EY204,2:38,2:25 PM,2:51 PM,7:10 PM
27-Nov-19,Kozhikode (CCJ),Abu Dhabi (AUH),EY257,3:35,9:25 AM,11:01 AM,12:00 PM
27-Nov-19,Abu Dhabi (AUH),Kozhikode (CCJ),EY254,3:06,3:10 AM,3:30 AM,8:20 AM
26-Nov-19,Hyderabad (HYD),Abu Dhabi (AUH),EY277,3:43,9:30 PM,9:38 PM,12:10 AM
26-Nov-19,Abu Dhabi (AUH),Hyderabad (HYD),EY276,3:01,9:35 AM,10:04 AM,2:35 PM
26-Nov-19,Islamabad (ISB),Abu Dhabi (AUH),EY232,3:17,3:40 AM,3:54 AM,6:20 AM
25-Nov-19,Abu Dhabi (AUH),Islamabad (ISB),EY231,2:32,10:15 PM,10:49 PM,2:20 AM
25-Nov-19,Riyadh (RUH),Abu Dhabi (AUH),EY316,1:11,4:15 AM,4:31 AM,6:55 AM
25-Nov-19,Abu Dhabi (AUH),Riyadh (RUH),EY315,1:32,2:10 AM,2:22 AM,3:10 AM
24-Nov-19,Bengaluru (BLR),Abu Dhabi (AUH),EY237,3:58,8:55 PM,8:51 PM,11:50 PM
24-Nov-19,Abu Dhabi (AUH),Bengaluru (BLR),EY236,3:08,11:20 AM,11:47 AM,4:35 PM
24-Nov-19,Islamabad (ISB),Abu Dhabi (AUH),EY232,3:19,3:40 AM,3:36 AM,6:20 AM
23-Nov-19,Abu Dhabi (AUH),Islamabad (ISB),EY231,2:41,10:15 PM,10:36 PM,2:20 AM
23-Nov-19,Kuwait City (KWI),Abu Dhabi (AUH),EY304,1:20,4:20 PM,4:26 PM,7:00 PM
23-Nov-19,Abu Dhabi (AUH),Kuwait City (KWI),EY303,1:21,2:25 PM,2:28 PM,3:15 PM
23-Nov-19,Cochin (COK),Abu Dhabi (AUH),EY247,3:39,9:20 AM,9:32 AM,12:05 PM
23-Nov-19,Abu Dhabi (AUH),Cochin (COK),EY246,3:31,2:50 AM,3:08 AM,8:15 AM
22-Nov-19,Colombo (CMB),Abu Dhabi (AUH),EY265,4:17,9:00 PM,9:00 PM,12:20 AM
22-Nov-19,Abu Dhabi (AUH),Colombo (CMB),EY264,4:04,8:40 AM,8:49 AM,2:35 PM
22-Nov-19,Lahore (LHE),Abu Dhabi (AUH),EY242,3:30,3:40 AM,3:47 AM,6:25 AM
21-Nov-19,Abu Dhabi (AUH),Lahore (LHE),EY241,2:35,9:50 PM,10:17 PM,1:55 AM
21-Nov-19,Dammam (DMM),Abu Dhabi (AUH),EY328,0:59,4:45 PM,4:56 PM,6:55 PM
21-Nov-19,Abu Dhabi (AUH),Dammam (DMM),EY327,1:00,2:50 PM,2:54 PM,3:15 PM
21-Nov-19,Dammam (DMM),Abu Dhabi (AUH),EY322,0:56,10:15 AM,10:24 AM,12:30 PM
21-Nov-19,Abu Dhabi (AUH),Dammam (DMM),EY321,0:59,9:00 AM,9:23 AM,9:25 AM
21-Nov-19,Cochin (COK),Abu Dhabi (AUH),EY281,3:34,4:15 AM,4:51 AM,7:00 AM
20-Nov-19,Abu Dhabi (AUH),Cochin (COK),EY280,3:37,9:45 PM,10:17 PM,3:10 AM
20-Nov-19,Bahrain (BAH),Abu Dhabi (AUH),EY376,1:24,5:50 PM,6:10 PM,8:00 PM
20-Nov-19,Abu Dhabi (AUH),Bahrain (BAH),EY375,0:59,4:45 PM,4:51 PM,5:00 PM
19-Nov-19,Kuwait City (KWI),Abu Dhabi (AUH),EY304,1:20,4:20 PM,4:18 PM,7:00 PM
19-Nov-19,Abu Dhabi (AUH),Kuwait City (KWI),EY303,1:20,2:25 PM,2:35 PM,3:15 PM
19-Nov-19,Ahmedabad (AMD),Abu Dhabi (AUH),EY253,3:05,7:25 AM,7:49 AM,9:25 AM
19-Nov-19,Abu Dhabi (AUH),Ahmedabad (AMD),EY252,2:15,2:05 AM,2:48 AM,6:35 AM
18-Nov-19,Hyderabad (HYD),Abu Dhabi (AUH),EY277,3:46,9:30 PM,9:38 PM,12:10 AM
18-Nov-19,Abu Dhabi (AUH),Hyderabad (HYD),EY276,3:07,9:35 AM,10:08 AM,2:35 PM
18-Nov-19,Riyadh (RUH),Abu Dhabi (AUH),EY316,1:14,4:15 AM,4:33 AM,6:55 AM
18-Nov-19,Abu Dhabi (AUH),Riyadh (RUH),EY315,1:36,2:10 AM,2:25 AM,3:10 AM
17-Nov-19,Hyderabad (HYD),Abu Dhabi (AUH),EY277,3:43,9:30 PM,9:45 PM,12:10 AM
17-Nov-19,Abu Dhabi (AUH),Hyderabad (HYD),EY276,2:59,9:35 AM,10:01 AM,2:35 PM
17-Nov-19,Lahore (LHE),Abu Dhabi (AUH),EY242,3:25,3:40 AM,4:12 AM,6:25 AM
16-Nov-19,Abu Dhabi (AUH),Lahore (LHE),EY241,2:43,9:50 PM,10:19 PM,1:55 AM
16-Nov-19,Istanbul (IST),Abu Dhabi (AUH),EY96,4:07,2:50 PM,3:01 PM,8:10 PM
16-Nov-19,Abu Dhabi (AUH),Istanbul (IST),EY97,4:22,9:30 AM,9:39 AM,1:30 PM
16-Nov-19,Lahore (LHE),Abu Dhabi (AUH),EY242,3:21,3:40 AM,3:33 AM,6:25 AM
15-Nov-19,Abu Dhabi (AUH),Lahore (LHE),EY241,2:44,9:50 PM,10:17 PM,1:55 AM
15-Nov-19,Amman (AMM),Abu Dhabi (AUH),EY514,2:24,2:05 PM,2:14 PM,6:45 PM
15-Nov-19,Abu Dhabi (AUH),Amman (AMM),EY513,3:04,10:35 AM,10:51 AM,12:05 PM
15-Nov-19,Riyadh (RUH),Abu Dhabi (AUH),EY316,1:12,4:15 AM,4:36 AM,6:55 AM
15-Nov-19,Abu Dhabi (AUH),Riyadh (RUH),EY315,1:29,2:10 AM,2:24 AM,3:10 AM
14-Nov-19,Bengaluru (BLR),Abu Dhabi (AUH),EY237,3:55,8:55 PM,8:57 PM,11:50 PM
14-Nov-19,Abu Dhabi (AUH),Bengaluru (BLR),EY236,3:16,2:00 PM,11:24 AM,7:15 PM
14-Nov-19,Islamabad (ISB),Abu Dhabi (AUH),EY232,3:10,3:40 AM,3:57 AM,6:20 AM
13-Nov-19,Abu Dhabi (AUH),Islamabad (ISB),EY231,2:49,10:15 PM,10:48 PM,2:20 AM
13-Nov-19,Moscow (DME),Abu Dhabi (AUH),EY68,4:43,12:15 PM,12:20 PM,6:40 PM
13-Nov-19,Abu Dhabi (AUH),Moscow (DME),EY65,5:18,2:15 AM,2:35 AM,6:55 AM
12-Nov-19,Delhi (DEL),Abu Dhabi (AUH),EY223,3:21,9:05 PM,9:21 PM,11:50 PM
12-Nov-19,Abu Dhabi (AUH),Delhi (DEL),EY224,3:11,2:20 PM,2:37 PM,7:30 PM
12-Nov-19,Delhi (DEL),Abu Dhabi (AUH),EY229,3:24,8:55 AM,9:48 AM,11:35 AM
12-Nov-19,Abu Dhabi (AUH),Delhi (DEL),EY228,2:54,2:55 AM,3:21 AM,7:50 AM
11-Nov-19,Bengaluru (BLR),Abu Dhabi (AUH),EY237,3:44,8:55 PM,9:01 PM,11:50 PM
11-Nov-19,Abu Dhabi (AUH),Bengaluru (BLR),EY236,3:27,2:00 PM,11:31 AM,7:15 PM
11-Nov-19,Cochin (COK),Abu Dhabi (AUH),EY281,3:49,4:15 AM,4:42 AM,7:00 AM
10-Nov-19,Abu Dhabi (AUH),Cochin (COK),EY280,3:22,9:45 PM,10:24 PM,3:10 AM
10-Nov-19,Jeddah (JED),Abu Dhabi (AUH),EY312,—,5:00 PM,5:10 PM,8:30 PM
10-Nov-19,Abu Dhabi (AUH),Jeddah (JED),EY311,2:38,1:20 PM,2:05 PM,3:30 PM
10-Nov-19,Cairo (CAI),Abu Dhabi (AUH),EY650,3:04,6:15 AM,6:28 AM,11:30 AM
10-Nov-19,Abu Dhabi (AUH),Cairo (CAI),EY651,3:30,2:50 AM,3:10 AM,5:10 AM
9-Nov-19,Hyderabad (HYD),Abu Dhabi (AUH),EY277,3:41,9:30 PM,9:50 PM,12:10 AM
9-Nov-19,Abu Dhabi (AUH),Hyderabad (HYD),EY276,3:10,9:35 AM,9:57 AM,2:35 PM
9-Nov-19,Cochin (COK),Abu Dhabi (AUH),EY281,3:44,4:15 AM,4:39 AM,7:00 AM
8-Nov-19,Abu Dhabi (AUH),Cochin (COK),EY280,3:37,9:45 PM,10:26 PM,3:10 AM
8-Nov-19,Cochin (COK),Abu Dhabi (AUH),EY281,3:55,4:15 AM,4:20 AM,7:00 AM
7-Nov-19,Abu Dhabi (AUH),Cochin (COK),EY280,3:38,9:45 PM,10:06 PM,3:10 AM
7-Nov-19,Kuwait City (KWI),Abu Dhabi (AUH),EY304,—,4:20 PM,4:20 PM,7:00 PM
7-Nov-19,Abu Dhabi (AUH),Kuwait City (KWI),EY303,1:21,2:25 PM,2:31 PM,3:15 PM
7-Nov-19,Chennai (MAA),Abu Dhabi (AUH),EY269,4:01,4:40 AM,5:05 AM,7:45 AM
6-Nov-19,Abu Dhabi (AUH),Chennai (MAA),EY268,3:38,10:05 PM,10:28 PM,3:35 AM
3-Nov-19,Abu Dhabi (AUH),Islamabad (ISB),EY231,2:50,10:15 PM,10:42 PM,2:20 AM
3-Nov-19,Abu Dhabi (AUH),Moscow (DME),EY65,5:12,2:15 AM,2:14 AM,6:55 AM
2-Nov-19,Bengaluru (BLR),Abu Dhabi (AUH),EY237,3:39,8:55 PM,8:55 PM,11:50 PM
2-Nov-19,Abu Dhabi (AUH),Bengaluru (BLR),EY236,3:31,11:20 AM,11:34 AM,4:35 PM
2-Nov-19,Chennai (MAA),Abu Dhabi (AUH),EY269,4:22,4:40 AM,4:47 AM,7:45 AM
1-Nov-19,Abu Dhabi (AUH),Chennai (MAA),EY268,3:45,10:05 PM,10:37 PM,3:35 AM
1-Nov-19,Istanbul (IST),Abu Dhabi (AUH),EY96,4:21,2:50 PM,3:05 PM,8:10 PM
1-Nov-19,Abu Dhabi (AUH),Istanbul (IST),EY97,4:54,9:30 AM,9:47 AM,1:30 PM
1-Nov-19,Chennai (MAA),Abu Dhabi (AUH),EY269,4:26,4:40 AM,4:51 AM,7:45 AM
31-Oct-19,Abu Dhabi (AUH),Chennai (MAA),EY268,3:41,10:05 PM,10:44 PM,3:35 AM
31-Oct-19,Istanbul (IST),Abu Dhabi (AUH),EY96,3:48,2:45 PM,4:10 PM,8:10 PM
31-Oct-19,Abu Dhabi (AUH),Istanbul (IST),EY97,4:48,9:30 AM,9:45 AM,1:30 PM
31-Oct-19,Cochin (COK),Abu Dhabi (AUH),EY281,3:54,4:15 AM,4:45 AM,7:00 AM
30-Oct-19,Abu Dhabi (AUH),Cochin (COK),EY280,3:30,9:45 PM,10:28 PM,3:10 AM
30-Oct-19,Moscow (DME),Abu Dhabi (AUH),EY68,4:56,12:15 PM,12:15 PM,6:40 PM
30-Oct-19,Abu Dhabi (AUH),Moscow (DME),EY65,5:09,2:15 AM,2:22 AM,6:55 AM
29-Oct-19,Bengaluru (BLR),Abu Dhabi (AUH),EY237,3:39,8:55 PM,8:55 PM,11:50 PM
29-Oct-19,Abu Dhabi (AUH),Bengaluru (BLR),EY236,3:29,11:20 AM,11:32 AM,4:35 PM
